Path,Category,FieldID,Field,Participants,Items,Stability,ValueType,Units,ItemType,Strata,Sexed,Instances,Array,Coding,Notes,Link
Population characteristics > Baseline characteristics > Indices of Multiple Deprivation,76,26412,Employment score (England),432733,432733,Complete,Continuous,"",Data,Derived,Unisex,1,1,,"This domain measures employment deprivation in an area conceptualised as involuntary exclusion of the working age population from the labour market. A combined count of employment deprived individuals per LSOA is calculated by summing the following seven indicators:    Claimants of Jobseeker's Allowance (both Contributory and Income-Based) women aged 18-59 and men aged 18-64, averaged over 4 quarters   Claimants of Incapacity Benefit women aged 18-59 and men aged 18-64, averaged over 4 quarters   Claimants of Severe Disablement Allowance women aged 18-59 and men aged 18-64, averaged over 4 quarters   Claimants of Employment Support Allowance women aged 18-59 and men aged 18-64   Participants in New Deal for the 18-24s who are not in receipt of Jobseeker's Allowance, averaged over 4 quarters   Participants in New Deal for 25+ who are not in receipt of Jobseeker's Allowance, averaged over 4 quarters   Participants in New Deal for Lone Parents (after initial interview) aged over 18, averaged over 4 quarters.   ",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=26412
Population characteristics > Baseline characteristics > Indices of Multiple Deprivation,76,26413,Health score (England),432733,432733,Complete,Continuous,"",Data,Derived,Unisex,1,1,,"This domain measures premature death and the impairment of quality of life by poor health. It considers both physical and mental health. The domain measures morbidity, disability and premature mortality but not aspects of behaviour or environment that may be predictive of future health deprivation. Four indicators are used to calculate this domain:    Years of Potential Life Lost - an age and sex standardised measure of premature death   Comparative Illness and Disability Ratio - an age and sex standardised measure of morbidity and disability   Measures of acute morbidity - an age and sex standardised rate of emergency admissions to hospital   Proportion of adults under 60 suffering from mood or anxiety disorders - a modelled indicator for the proportion of adults suffering from mood and anxiety disorders.   ",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=26413
Population characteristics > Baseline characteristics > Indices of Multiple Deprivation,76,26414,Education score (England),432733,432733,Complete,Continuous,"",Data,Derived,Unisex,1,1,,"This domain measures the extent of deprivation in terms of education, skills and training in an area. The indicators are structured into two sub-domains: one relating to children and young people and one relating to adult skills. These two sub-domains are designed to reflect the 'flow' and 'stock' of educational disadvantage within an area respectively. Seven indicators are used to calculate this domain:    Average points score of pupils taking English, Maths and Science Key Stage 2 exams   Average points score of pupils taking English, Maths and Science Key Stage 3 exams   Average capped points score of pupils taking Key Stage 4 (GCSE or equivalent) exams   Proportion of young people not staying on in school or non-advanced education above age 16   Secondary school absence rate - the proportion of authorised and unauthorised absences from secondary school   Proportion of those aged under 21 not entering Higher Education.   Proportion of adults aged 25-54 with no or low qualifications.   ",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=26414
Population characteristics > Baseline characteristics > Indices of Multiple Deprivation,76,26415,Housing score (England),432733,432733,Complete,Continuous,"",Data,Derived,Unisex,1,1,,"This domain measures the physical and financial accessibility of housing and key local services. The indicators fall into two sub-domains: 'geographical barriers', which relate to the physical proximity of local services, and 'wider barriers' which includes issues relating to access to housing such as affordability. Seven indicators are combined to calculate this domain:    Household overcrowding - the proportion of households within an LSOA which are judged to have insufficient space to meet the household's needs   Homelessness - the rate of acceptances for housing assistance under the homelessness provisions of the 1996 Housing Act (at local authority district level)    Difficulty of access to owner-occupation (local authority district level) - proportion of households aged under 35 whose income means they are unable to afford to enter owner occupation   Road distance to a GP surgery   Road distance to a supermarket or convenience store   Road distance to a primary school   Road distance to a Post Office.   ",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=26415
Population characteristics > Baseline characteristics > Indices of Multiple Deprivation,76,26416,Crime score (England),432733,432733,Complete,Continuous,"",Data,Derived,Unisex,1,1,,This domain measures the rate of recorded crime in an area for four major crime types representing the risk of personal and material victimisation at a small area level.    Violence - number of reported violent crimes (19 reported crime types) per 1000 at risk population   Burglary - number of reported burglaries (4 reported crime types) per 1000 at risk population   Theft - number of reported thefts (5 reported crime types) per 1000 at risk population   Criminal damage - number of reported crimes (11 reported crime types) per 1000 at risk population.   ,http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=26416
Population characteristics > Baseline characteristics > Indices of Multiple Deprivation,76,26417,Living environment score (England),432733,432733,Complete,Continuous,"",Data,Derived,Unisex,1,1,,"This domain measures the quality of individuals' immediate surroundings both within and outside the home. The indicators fall into two sub-domains: the 'indoors' living environment, which measures the quality of housing, and the 'outdoors' living environment which contains two measures relating to air quality and road traffic accidents. Four indicators are combined to calculate this domain:    Social and private housing in poor condition   Houses with central heating   Air quality   Road traffic accidents.   ",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=26417
Population characteristics > Baseline characteristics > Indices of Multiple Deprivation,76,26418,Income score (Wales),21187,21187,Complete,Continuous,"",Data,Derived,Unisex,1,1,,The purpose of this domain is to capture the extent of deprivation relating to income at a small area level across Wales. It focuses on the proportion of people living in households with income below a defined threshold or claiming benefits relating to low incomes. The indicators used for the income domain were:    Adults & children in income support households   Adults & children in pension credit households   Adults & children in income-based job seekers allowance households   Adults & children in tax credit (child tax credit and working tax credit) households below a low income threshold   National Asylum Support Service (NASS) supported asylum seekers in Wales in receipt of subsistence only and accommodation support   ,http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=26418
Population characteristics > Baseline characteristics > Indices of Multiple Deprivation,76,26419,Employment score (Wales),21187,21187,Complete,Continuous,"",Data,Derived,Unisex,1,1,,"The purpose of this domain is to capture the extent of deprivation relating to employment at a small area level across Wales, and focuses on the proportion of working age people claiming out-of-work benefits. The indicators used for the employment domain were:    Claimants of unemployment-related benefits   Claimants of incapacity benefit/severe disablement allowance   Participants on New Deal for Young People and Intensive Activity Period (for New Deal 25+) not included in unemployment-related benefit counts   Participants on New Deal for Lone Parents   ",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=26419
Population characteristics > Baseline characteristics > Indices of Multiple Deprivation,76,26420,Health score (Wales),21187,21187,Complete,Continuous,"",Data,Derived,Unisex,1,1,,The purpose of this domain is to capture the degree to which people are deprived of good health. The indicators used for the health domain were:    Limiting long-term illness (LLTI)   Standardised all-cause death rate   Standardised cancer incidence rate   Singleton low birth weights   ,http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=26420
Population characteristics > Baseline characteristics > Indices of Multiple Deprivation,76,26421,Education score (Wales),21187,21187,Complete,Continuous,"",Data,Derived,Unisex,1,1,,"The purpose of this domain is to capture the extent of deprivation relating to education, training and skills at a small-area level across Wales. It is designed to reflect the 'stock' and 'flow' or educational disadvantage within an area, by capturing low attainment among children and young people and the lack of qualifications and skills in adults. The indicators used for the education domain were:    Key Stage 2, average point scores   Key Stage 3, average point scores   Key Stage 4, average point scores   Primary school absence rates   Secondary school absence rates   Proportion of people not entering Higher Education aged 18-19   Number of adults aged 25 - 59/64 with no qualifications   ",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=26421
Population characteristics > Baseline characteristics > Indices of Multiple Deprivation,76,26422,Access to services score (Wales),21187,21187,Complete,Continuous,"",Data,Derived,Unisex,1,1,,"The purpose of this domain is to illustrate the deprivation as a result of a household's inability to access a range of services, considered necessary for day-to-day living. The access is by walking or using public bus services or both. The indicators used for the geographical access to services domain were:    Food shop   GP surgery   Primary school   Post office   Public library   Leisure centre   NHS dentist   Secondary school   Transport nodes   ",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=26422
Population characteristics > Baseline characteristics > Indices of Multiple Deprivation,76,26423,Housing score (Wales),21187,21187,Complete,Continuous,"",Data,Derived,Unisex,1,1,,The purpose of this domain is to capture deprivation though a lack of adequate housing. The indicators used for the housing domain were:    Lack of central heating   Overcrowding (excluding all student households)   ,http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=26423
Population characteristics > Baseline characteristics > Indices of Multiple Deprivation,76,26424,Physical environment score (Wales),21187,21187,Complete,Continuous,"",Data,Derived,Unisex,1,1,,The purpose of this domain is to measure environmental factors that may impact on quality of life in an area. Negative impacts on quality of life are judged to be a form of deprivation. Environmental deprivation is generally not correlated with social or economic deprivation in Wales. (ref: Walker et al 2003). This domain does not capture aspects of deprivation such as health inequalities (this is an objective of the Health domain). Data covering Wales is not available on actual impacts on quality of life; so factors were chosen that were judged to indicate an increased potential for reduced quality of life and had data available. The indicators used for the physical environment domain were:    Air Quality   Air Emissions   Flood risk   Proximity to waste disposal and industrial sites   ,http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=26424
Population characteristics > Baseline characteristics > Indices of Multiple Deprivation,76,26425,Community safety score (Wales),21187,21187,Complete,Continuous,"",Data,Derived,Unisex,1,1,,"The purpose of this domain is to reflect where people are deprived of a safe community in which to live. Safety includes levels of household and personal crime and quality of experience in public places compatible with access to ordinary work, leisure and social relationships. The indicators used for the Community Safety domain were:    Police Force Recorded Crime   Youth Offenders   Adult Offenders   Fire Incidence   ",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=26425
Population characteristics > Baseline characteristics > Indices of Multiple Deprivation,76,26426,Index of Multiple Deprivation (Wales),21187,21187,Complete,Continuous,"",Data,Derived,Unisex,1,1,,"The Welsh Index of Multiple Deprivation 2008 is the official measure of deprivation for small areas in Wales. It was developed for the Welsh Assembly Government by the Assembly's Statistical Directorate and the Local Government Data Unit (Wales).   The WIMD 2008 is made up of eight separate domains (or kinds) of deprivation: income, employment, health, education, housing, environment, access to services, and community safety.   Each of them was based on a range of different indicators which meant that they were measured in different ways using different units. So before they could be combined the measurements had to be transformed to make them compatible. For example, if the height of something had been measured in metres and the weight in kilograms it would not make sense simply to add them together.   Income and employment were classed as the most important factors, and they were given the biggest weighting in the overall index. Although there is more to deprivation than poverty, not having enough money or a job is a big part of it.",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=26426
Population characteristics > Baseline characteristics > Indices of Multiple Deprivation,76,26427,Index of Multiple Deprivation (Scotland),35849,35849,Complete,Continuous,"",Data,Derived,Unisex,1,1,,"The Scottish Index of Multiple Deprivation (SIMD) 2009 identifies small area concentrations of multiple deprivation across Scotland in a consistent manner. The SIMD combines data from seven distinct domains or topic areas all of which are considered to be important contributors to deprivation levels. These domains have remained the same as in the previous version of the index, published in 2006, and the data used in compiling each one is the most appropriate and up to date that was available at the time of constructing the index.   The SIMD is a relative measure of deprivation that uses 6,505 data zones across Scotland as its unit of comparison. The rank applied to each of these data zones identifies each as being more or less deprived than all the others in the country. The rankings run from 1 being the most deprived to 6505 being the least deprived. Therefore the smaller the ranking the more deprived the data zone. As the SIMD is a relative measure it cannot show how much more deprived one data zone is than another, e.g. that a data zone ranked 5 is twice as deprived as a data zone ranked 10. In the same way the distance between each ranking can vary - so the gap between the data zones ranked 16 and 17 could be very small while the gap between those ranked 17 and 18 could be much bigger.   The SIMD can be used to identify the small areas with the highest concentrations of multiple deprivation in Scotland using either the overall index or the individual domains. The most commonly used cut off levels are 10%, 15% or 20% - although different cut offs may be required depending on individual policy or organisational focus.",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=26427
Population characteristics > Baseline characteristics > Indices of Multiple Deprivation,76,26428,Income score (Scotland),35849,35849,Complete,Continuous,"",Data,Derived,Unisex,1,1,,Current Income Domain:    Adults receiving Guarantee Pension Credit   Job Seekers Allowance Claimants   Dependants of Job Seekers Allowance Claimants   Adults (aged 16-59) receiving Income Support   Dependants of Income Support Claimants   Number of Adults and Children in Tax Credits Families on Low Incomes   ,http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=26428
Population characteristics > Baseline characteristics > Indices of Multiple Deprivation,76,26429,Employment score (Scotland),35849,35849,Complete,Continuous,"",Data,Derived,Unisex,1,1,,"Employment Domain:    Working Age Unemployment Claimant Count averaged over 12 months   Working Age Incapacity Benefit recipients, men aged under 65 and women aged under 60   Working Age Severe Disablement Allowance recipients   Working Age Compulsory New Deal participants - New Deal for the under 25s and New Deal for the 25+ not included in the unemployment claimant count   ",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=26429
Population characteristics > Baseline characteristics > Indices of Multiple Deprivation,76,26430,Health score (Scotland),35849,35849,Complete,Continuous,"",Data,Derived,Unisex,1,1,,"Health Domain:    Standardised Mortality Ratio   Hospital Episodes Related to alcohol use   Hospital Episodes Related to drug use   Comparative Illness Factor   Emergency admissions to hospital   Proportion of population being prescribed drugs for anxiety, depression or psychosis   Proportion of live singleton births of low birth weight   ",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=26430
Population characteristics > Baseline characteristics > Indices of Multiple Deprivation,76,26431,Education score (Scotland),35849,35849,Complete,Continuous,"",Data,Derived,Unisex,1,1,,"Education Skills and Training Domain:    School pupil absences   Pupil performance on SQA at stage 4   Working age people with no qualifications   17-21 year olds enrolling into higher education   People aged 16-19 not in education, employment or training   ",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=26431
Population characteristics > Baseline characteristics > Indices of Multiple Deprivation,76,26432,Housing score (Scotland),35849,35849,Complete,Continuous,"",Data,Derived,Unisex,1,1,,Housing Domain:    Persons in households that are overcrowded   Persons in households without central heating   ,http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=26432
Population characteristics > Baseline characteristics > Indices of Multiple Deprivation,76,26433,Access to services score (Scotland),35849,35849,Complete,Continuous,"",Data,Derived,Unisex,1,1,,Geographic Access Domain:    Average drive time to a primary school   Average drive time to a secondary school   Average drive time to a GP   Average drive time to a post office   Average drive time to shopping facilities   Average drive time to a fuel station   Public transport travel time to Shopping Facilities   Public transport travel time to a GP   Public transport travel time to a post office   ,http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=26433
Population characteristics > Baseline characteristics > Indices of Multiple Deprivation,76,26434,Crime score (Scotland),33489,33489,Ongoing,Continuous,"",Data,Derived,Unisex,1,1,,Crime Domain:    Recorded Crimes of Violence   Recorded Domestic housebreaking   Recorded Vandalism   Recorded Drugs Offences   Recorded Minor Assault   ,http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=26434
UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI,110,26500,T2-FLAIR used (in addition to T1) to run FreeSurfer,40098,41470,Accruing,Categorical single,"",Data,Derived,Unisex,2,1,7,Whether the T2-FLAIR was used or not (in addition to the T1) to run FreeSurfer,http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=26500
UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer ASEG,190,26501,Mean intensity of 3rd-Ventricle (whole brain),40098,41470,Accruing,Continuous,AU,Data,Derived,Unisex,2,1,,Mean intensity of 3rd-Ventricle in the whole brain generated by subcortical volumetric segmentation (aseg),http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=26501
UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer ASEG,190,26502,Mean intensity of 4th-Ventricle (whole brain),40098,41470,Accruing,Continuous,AU,Data,Derived,Unisex,2,1,,Mean intensity of 4th-Ventricle in the whole brain generated by subcortical volumetric segmentation (aseg),http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=26502
UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer ASEG,190,26503,Mean intensity of 5th-Ventricle (whole brain),40098,41470,Accruing,Continuous,AU,Data,Derived,Unisex,2,1,,Mean intensity of 5th-Ventricle in the whole brain generated by subcortical volumetric segmentation (aseg),http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=26503
UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer ASEG,190,26504,Mean intensity of Brain-Stem (whole brain),40098,41470,Accruing,Continuous,AU,Data,Derived,Unisex,2,1,,Mean intensity of Brain-Stem in the whole brain generated by subcortical volumetric segmentation (aseg),http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=26504
UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer ASEG,190,26505,Mean intensity of CSF (whole brain),40098,41470,Accruing,Continuous,AU,Data,Derived,Unisex,2,1,,Mean intensity of CSF in the whole brain generated by subcortical volumetric segmentation (aseg),http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=26505
UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer ASEG,190,26506,Mean intensity of WM-hypointensities (whole brain),40098,41470,Accruing,Continuous,AU,Data,Derived,Unisex,2,1,,Mean intensity of WM-hypointensities in the whole brain generated by subcortical volumetric segmentation (aseg),http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=26506
UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer ASEG,190,26507,Mean intensity of non-WM-hypointensities (whole brain),40098,41470,Accruing,Continuous,AU,Data,Derived,Unisex,2,1,,Mean intensity of non-WM-hypointensities in the whole brain generated by subcortical volumetric segmentation (aseg),http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=26507
UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer ASEG,190,26508,Mean intensity of Optic-Chiasm (whole brain),40098,41470,Accruing,Continuous,AU,Data,Derived,Unisex,2,1,,Mean intensity of Optic-Chiasm in the whole brain generated by subcortical volumetric segmentation (aseg),http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=26508
UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer ASEG,190,26509,Mean intensity of CC-Posterior (whole brain),40098,41470,Accruing,Continuous,AU,Data,Derived,Unisex,2,1,,Mean intensity of CC-Posterior in the whole brain generated by subcortical volumetric segmentation (aseg),http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=26509
UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer ASEG,190,26510,Mean intensity of CC-Mid-Posterior (whole brain),40098,41470,Accruing,Continuous,AU,Data,Derived,Unisex,2,1,,Mean intensity of CC-Mid-Posterior in the whole brain generated by subcortical volumetric segmentation (aseg),http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=26510
UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer ASEG,190,26511,Mean intensity of CC-Central (whole brain),40098,41470,Accruing,Continuous,AU,Data,Derived,Unisex,2,1,,Mean intensity of CC-Central in the whole brain generated by subcortical volumetric segmentation (aseg),http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=26511
UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer ASEG,190,26512,Mean intensity of CC-Mid-Anterior (whole brain),40098,41470,Accruing,Continuous,AU,Data,Derived,Unisex,2,1,,Mean intensity of CC-Mid-Anterior in the whole brain generated by subcortical volumetric segmentation (aseg),http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=26512
UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer ASEG,190,26513,Mean intensity of CC-Anterior (whole brain),40098,41470,Accruing,Continuous,AU,Data,Derived,Unisex,2,1,,Mean intensity of CC-Anterior in the whole brain generated by subcortical volumetric segmentation (aseg),http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=26513
UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer ASEG,190,26514,Volume of BrainSeg (whole brain),40098,41470,Accruing,Continuous,mm3,Data,Derived,Unisex,2,1,,Volume of BrainSeg in the whole brain generated by subcortical volumetric segmentation (aseg),http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=26514
UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer ASEG,190,26515,Volume of BrainSegNotVent (whole brain),40098,41470,Accruing,Continuous,mm3,Data,Derived,Unisex,2,1,,Volume of BrainSegNotVent in the whole brain generated by subcortical volumetric segmentation (aseg),http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=26515
UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer ASEG,190,26516,Volume of BrainSegNotVentSurf (whole brain),40098,41470,Accruing,Continuous,mm3,Data,Derived,Unisex,2,1,,Volume of BrainSegNotVentSurf in the whole brain generated by subcortical volumetric segmentation (aseg),http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=26516
UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer ASEG,190,26517,Volume of SubCortGray (whole brain),40098,41470,Accruing,Continuous,mm3,Data,Derived,Unisex,2,1,,Volume of SubCortGray in the whole brain generated by subcortical volumetric segmentation (aseg),http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=26517
UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer ASEG,190,26518,Volume of TotalGray (whole brain),40098,41470,Accruing,Continuous,mm3,Data,Derived,Unisex,2,1,,Volume of TotalGray in the whole brain generated by subcortical volumetric segmentation (aseg),http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=26518
UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer ASEG,190,26519,Volume of SupraTentorial (whole brain),40098,41470,Accruing,Continuous,mm3,Data,Derived,Unisex,2,1,,Volume of SupraTentorial in the whole brain generated by subcortical volumetric segmentation (aseg),http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=26519
UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer ASEG,190,26520,Volume of SupraTentorialNotVent (whole brain),40098,41470,Accruing,Continuous,mm3,Data,Derived,Unisex,2,1,,Volume of SupraTentorialNotVent in the whole brain generated by subcortical volumetric segmentation (aseg),http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=26520
UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer ASEG,190,26521,Volume of EstimatedTotalIntraCranial (whole brain),40098,41470,Accruing,Continuous,mm3,Data,Derived,Unisex,2,1,,Volume of EstimatedTotalIntraCranial in the whole brain generated by subcortical volumetric segmentation (aseg),http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=26521
UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer ASEG,190,26522,Volume of VentricleChoroid (whole brain),40098,41470,Accruing,Continuous,mm3,Data,Derived,Unisex,2,1,,Volume of VentricleChoroid in the whole brain generated by subcortical volumetric segmentation (aseg),http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=26522
UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer ASEG,190,26523,Volume of 3rd-Ventricle (whole brain),40098,41470,Accruing,Continuous,mm3,Data,Derived,Unisex,2,1,,Volume of 3rd-Ventricle in the whole brain generated by subcortical volumetric segmentation (aseg),http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=26523
UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer ASEG,190,26524,Volume of 4th-Ventricle (whole brain),40098,41470,Accruing,Continuous,mm3,Data,Derived,Unisex,2,1,,Volume of 4th-Ventricle in the whole brain generated by subcortical volumetric segmentation (aseg),http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=26524
UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer ASEG,190,26525,Volume of 5th-Ventricle (whole brain),40098,41470,Accruing,Continuous,mm3,Data,Derived,Unisex,2,1,,Volume of 5th-Ventricle in the whole brain generated by subcortical volumetric segmentation (aseg),http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=26525
UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer ASEG,190,26526,Volume of Brain-Stem (whole brain),40098,41470,Accruing,Continuous,mm3,Data,Derived,Unisex,2,1,,Volume of Brain-Stem in the whole brain generated by subcortical volumetric segmentation (aseg),http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=26526
UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer ASEG,190,26527,Volume of CSF (whole brain),40098,41470,Accruing,Continuous,mm3,Data,Derived,Unisex,2,1,,Volume of CSF in the whole brain generated by subcortical volumetric segmentation (aseg),http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=26527
UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer ASEG,190,26528,Volume of WM-hypointensities (whole brain),40098,41470,Accruing,Continuous,mm3,Data,Derived,Unisex,2,1,,Volume of WM-hypointensities in the whole brain generated by subcortical volumetric segmentation (aseg),http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=26528
UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer ASEG,190,26529,Volume of non-WM-hypointensities (whole brain),40098,41470,Accruing,Continuous,mm3,Data,Derived,Unisex,2,1,,Volume of non-WM-hypointensities in the whole brain generated by subcortical volumetric segmentation (aseg),http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=26529
UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer ASEG,190,26530,Volume of Optic-Chiasm (whole brain),40098,41470,Accruing,Continuous,mm3,Data,Derived,Unisex,2,1,,Volume of Optic-Chiasm in the whole brain generated by subcortical volumetric segmentation (aseg),http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=26530
UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer ASEG,190,26531,Volume of CC-Posterior (whole brain),40098,41470,Accruing,Continuous,mm3,Data,Derived,Unisex,2,1,,Volume of CC-Posterior in the whole brain generated by subcortical volumetric segmentation (aseg),http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=26531
UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer ASEG,190,26532,Volume of CC-Mid-Posterior (whole brain),40098,41470,Accruing,Continuous,mm3,Data,Derived,Unisex,2,1,,Volume of CC-Mid-Posterior in the whole brain generated by subcortical volumetric segmentation (aseg),http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=26532
UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer ASEG,190,26533,Volume of CC-Central (whole brain),40098,41470,Accruing,Continuous,mm3,Data,Derived,Unisex,2,1,,Volume of CC-Central in the whole brain generated by subcortical volumetric segmentation (aseg),http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=26533
UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer ASEG,190,26534,Volume of CC-Mid-Anterior (whole brain),40098,41470,Accruing,Continuous,mm3,Data,Derived,Unisex,2,1,,Volume of CC-Mid-Anterior in the whole brain generated by subcortical volumetric segmentation (aseg),http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=26534
UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer ASEG,190,26535,Volume of CC-Anterior (whole brain),40098,41470,Accruing,Continuous,mm3,Data,Derived,Unisex,2,1,,Volume of CC-Anterior in the whole brain generated by subcortical volumetric segmentation (aseg),http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=26535
UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer ASEG,190,26536,Volume-ratio of BrainSegVol-to-eTIV (whole brain),40098,41470,Accruing,Continuous,ratio,Data,Derived,Unisex,2,1,,Volume-ratio of BrainSegVol-to-eTIV in the whole brain generated by subcortical volumetric segmentation (aseg),http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=26536
UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer ASEG,190,26537,Volume-ratio of MaskVol-to-eTIV (whole brain),40098,41470,Accruing,Continuous,ratio,Data,Derived,Unisex,2,1,,Volume-ratio of MaskVol-to-eTIV in the whole brain generated by subcortical volumetric segmentation (aseg),http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=26537
